Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-09-26T03:35:43.546Z","Included","auto","No","1334","0","264192","755","266281","0.07"
"2025-09-26T03:35:06.015Z","Included","auto","No","1765","0","193792","508","196065","0.05"
"2025-09-26T03:32:33.206Z","Included","auto","No","5005","0","434176","1716","440897","0.13"
"2025-09-26T03:18:40.356Z","Included","auto","No","21730","0","173264","570","195564","0.07"
"2025-09-26T03:18:08.403Z","Included","auto","No","61193","0","2681856","10252","2753301","0.81"
"2025-09-26T03:14:31.763Z","Included","auto","No","64524","0","3376440","4818","3445782","0.95"
"2025-09-26T03:01:47.510Z","Errored, Not Charged","auto","No","69673","91032","5191692","26609","5379006","1.66"
"2025-09-26T03:01:00.588Z","Errored, Not Charged","auto","No","3795","0","717676","587","722058","0.19"
"2025-09-26T02:59:55.883Z","Included","auto","No","1558","0","98690","1487","101735","0.04"
"2025-09-26T02:58:59.826Z","Included","auto","No","860","0","97831","1444","100135","0.03"
"2025-09-26T02:58:06.798Z","Included","auto","No","464","0","97368","713","98545","0.03"
"2025-09-26T02:57:16.839Z","Included","auto","No","90242","2690","103999","787","197718","0.15"
"2025-09-26T02:40:03.077Z","Included","auto","No","14263","0","1878860","3973","1897096","0.51"
"2025-09-26T02:37:26.987Z","Included","auto","No","81223","11450","422641","2555","517869","0.24"
"2025-09-26T02:37:05.543Z","Errored, Not Charged","auto","No","663","6720","242410","1100","250893","0.08"
"2025-09-26T02:35:47.421Z","Errored, Not Charged","auto","No","7181","4278","464657","1727","477843","0.14"
"2025-09-26T02:34:52.526Z","Errored, Not Charged","auto","No","3700","2042","221313","1488","228543","0.07"
"2025-09-26T02:33:39.706Z","Errored, Not Charged","auto","No","7315","1893","955664","2880","967752","0.27"
"2025-09-26T02:32:20.931Z","Included","auto","No","2035","0","254636","891","257562","0.07"
"2025-09-26T02:31:16.391Z","Included","auto","No","6114","0","657188","2153","665455","0.18"
"2025-09-26T02:30:25.567Z","Errored, Not Charged","auto","No","8320","0","464317","1803","474440","0.14"
"2025-09-26T02:29:03.068Z","Errored, Not Charged","auto","No","16642","0","223386","467","240495","0.08"
"2025-09-26T02:25:17.637Z","Included","auto","No","36359","106973","978348","17949","1139629","0.53"
"2025-09-26T02:24:47.383Z","Included","auto","No","1072","0","113055","309","114436","0.03"
"2025-09-26T02:23:49.739Z","Included","auto","No","650","0","112406","922","113978","0.03"
"2025-09-26T02:22:37.550Z","Errored, Not Charged","auto","No","501","0","110549","0","111050","0.03"
"2025-09-26T02:21:17.445Z","Included","auto","No","394","0","110156","355","110905","0.03"
"2025-09-26T02:20:42.156Z","Included","auto","No","284","0","109873","253","110410","0.03"
"2025-09-26T02:20:13.089Z","Errored, Not Charged","auto","No","33370","0","282387","743","316500","0.12"
"2025-09-26T02:19:13.548Z","Included","auto","No","3962","0","389120","1600","394682","0.11"
"2025-09-26T02:19:06.472Z","Included","auto","No","4709","0","299592","402","304703","0.08"
"2025-09-26T02:17:25.323Z","Errored, Not Charged","auto","No","19030","0","1131258","1648","1151936","0.32"
"2025-09-26T02:16:56.499Z","Errored, Not Charged","auto","No","3509","0","156332","1626","161467","0.05"
"2025-09-26T02:16:11.689Z","Errored, Not Charged","auto","No","4044","0","446542","1796","452382","0.13"
"2025-09-26T02:16:05.930Z","Errored, Not Charged","auto","No","1337","0","71528","227","73092","0.02"
"2025-09-26T02:15:04.014Z","Errored, Not Charged","auto","No","10859","0","917832","2335","931026","0.26"
"2025-09-26T02:14:23.754Z","Included","auto","No","53556","0","7128","480","61164","0.07"
"2025-09-26T02:13:22.072Z","Included","auto","No","823","0","53760","173","54756","0.02"
"2025-09-26T02:13:00.593Z","Included","auto","No","242","0","53760","455","54457","0.02"
"2025-09-26T02:12:27.718Z","Errored, Not Charged","auto","No","6813","0","406528","1947","415288","0.12"
"2025-09-26T02:09:25.032Z","Included","auto","No","58887","0","1073920","5783","1138590","0.38"
"2025-09-26T02:07:26.477Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-09-26T02:06:11.052Z","Errored, Not Charged","auto","No","10155","0","1959168","972","1970295","0.51"
"2025-09-26T02:05:22.115Z","Errored, Not Charged","auto","No","1994","0","490240","531","492765","0.13"
"2025-09-26T02:01:59.606Z","Included","auto","No","98944","96","3831808","8156","3939004","1.13"
"2025-09-26T01:58:27.899Z","Included","auto","No","47791","102523","1437343","25436","1613093","0.70"
"2025-09-26T01:57:27.797Z","Errored, Not Charged","auto","No","3524","0","578415","1297","583236","0.16"
"2025-09-26T01:56:39.053Z","Errored, Not Charged","auto","No","4534","0","789049","1345","794928","0.21"
"2025-09-26T01:56:38.343Z","Aborted, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-09-26T01:55:51.152Z","Included","auto","No","2456","0","551032","817","554305","0.15"
"2025-09-26T01:54:55.369Z","Errored, Not Charged","auto","No","5588","0","956186","1562","963336","0.26"
"2025-09-26T01:54:29.569Z","Errored, Not Charged","auto","No","1576","0","206187","625","208388","0.06"
"2025-09-26T01:51:36.025Z","Errored, Not Charged","auto","No","3954","0","200989","159","205102","0.06"
"2025-09-26T01:39:00.379Z","Included","auto","No","100169","0","597405","2727","700301","0.29"
"2025-09-26T01:37:53.435Z","Included","auto","No","88717","0","7128","1703","97548","0.12"
"2025-09-25T23:54:32.820Z","Included","auto","No","87149","91101","3149544","26279","3354073","1.17"
"2025-09-25T23:52:31.419Z","Included","auto","No","7623","0","786657","874","795154","0.21"
"2025-09-25T23:43:17.344Z","Included","auto","No","67711","0","4445316","14832","4527859","1.28"
"2025-09-25T23:42:41.514Z","Included","auto","No","8260","0","287142","652","296054","0.09"
"2025-09-25T23:41:02.455Z","Errored, Not Charged","auto","No","16816","0","315221","5320","337357","0.13"
"2025-09-25T23:39:03.046Z","Errored, Not Charged","auto","No","24357","95977","11228","24366","155928","0.30"
"2025-09-25T23:38:16.054Z","Included","auto","No","1016","0","116141","181","117338","0.03"
"2025-09-25T23:37:34.035Z","Errored, Not Charged","auto","No","1093","0","231694","431","233218","0.06"
"2025-09-25T23:36:28.905Z","Errored, Not Charged","auto","No","5257","0","783469","2750","791476","0.22"
"2025-09-25T23:35:31.661Z","Included","auto","No","103088","0","442167","937","546192","0.25"
"2025-09-25T22:55:54.576Z","Included","auto","No","99574","95401","5955223","37134","6187332","1.96"
"2025-09-25T22:54:32.541Z","Included","auto","No","3250","0","1019289","947","1023486","0.26"
"2025-09-25T22:45:17.251Z","Included","auto","No","67277","0","2426169","4066","2497512","0.72"
"2025-09-25T22:35:06.822Z","Errored, Not Charged","auto","No","52014","0","2961749","10010","3023773","0.87"
"2025-09-25T22:32:32.499Z","Errored, Not Charged","auto","No","36254","0","784228","4501","824983","0.27"
"2025-09-25T22:18:30.781Z","Errored, Not Charged","auto","No","18539","103316","39291","11658","172804","0.23"
"2025-09-25T22:18:23.653Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-09-25T22:16:05.754Z","Errored, Not Charged","auto","No","15418","0","1016944","1244","1033606","0.28"
"2025-09-25T22:14:18.776Z","Errored, Not Charged","auto","No","103075","0","1048855","2067","1153997","0.40"
"2025-09-25T21:46:15.061Z","Included","auto","No","29027","0","1352496","2784","1384307","0.39"
"2025-09-25T21:44:14.781Z","Errored, Not Charged","auto","No","9473","0","1229782","4437","1243692","0.35"
"2025-09-25T21:43:32.324Z","Errored, Not Charged","auto","No","14176","0","329542","1679","345397","0.11"
"2025-09-25T21:43:05.811Z","Errored, Not Charged","auto","No","9754","0","171559","1258","182571","0.06"
"2025-09-25T21:42:43.293Z","Errored, Not Charged","auto","No","1290","0","113072","924","115286","0.04"
"2025-09-25T21:42:25.952Z","Errored, Not Charged","auto","No","913","0","146801","482","148196","0.04"
"2025-09-25T21:42:21.883Z","Errored, Not Charged","auto","No","441","0","35905","96","36442","0.01"
"2025-09-25T21:42:09.837Z","Errored, Not Charged","auto","No","567","0","106708","391","107666","0.03"
"2025-09-25T21:42:04.958Z","Errored, Not Charged","auto","No","517","0","34825","146","35488","0.01"
"2025-09-25T21:41:56.477Z","Errored, Not Charged","auto","No","264","0","34562","367","35193","0.01"
"2025-09-25T21:41:06.333Z","Errored, Not Charged","auto","No","7753","0","325983","817","334553","0.10"
"2025-09-25T21:34:26.910Z","Included","auto","No","23732","100679","1242195","9097","1375703","0.52"
"2025-09-25T21:33:16.037Z","Included","auto","No","2026","0","110300","358","112684","0.03"
"2025-09-25T21:32:49.569Z","Errored, Not Charged","auto","No","1369","0","331985","222","333576","0.09"
"2025-09-25T21:32:25.718Z","Errored, Not Charged","auto","No","812","0","438252","208","439272","0.11"
"2025-09-25T21:31:02.600Z","Errored, Not Charged","auto","No","6058","0","946174","1518","953750","0.25"
"2025-09-25T21:30:20.729Z","Included","auto","No","2255","0","809913","739","812907","0.21"
"2025-09-25T21:29:18.618Z","Included","auto","No","2117","0","992582","1026","995725","0.26"
"2025-09-25T21:25:20.882Z","Included","auto","No","47287","0","1920549","2437","1970273","0.55"
"2025-09-25T21:15:12.219Z","Included","auto","No","85708","75869","3329533","13286","3504396","1.11"
"2025-09-25T21:08:58.972Z","Included","auto","No","23282","0","3264990","6457","3294729","0.88"
"2025-09-25T21:06:59.938Z","Included","auto","No","79041","0","92635","445","172121","0.12"
"2025-09-25T21:03:59.281Z","Included","auto","No","10141","0","1813248","2363","1825752","0.48"
"2025-09-25T20:33:09.436Z","Included","auto","No","3568","0","738048","940","742556","0.19"
"2025-09-25T20:31:45.346Z","Included","auto","No","5205","0","634112","2033","641350","0.18"
"2025-09-25T20:30:14.165Z","Included","auto","No","6705","0","856576","2741","866022","0.24"
"2025-09-25T20:27:53.379Z","Included","auto","No","58642","0","954112","3851","1016605","0.33"
"2025-09-25T20:16:39.917Z","Included","auto","No","3184","0","218886","976","223046","0.06"
"2025-09-25T20:15:53.523Z","Errored, Not Charged","auto","No","21474","0","332249","1041","354764","0.12"
"2025-09-25T20:14:09.356Z","Errored, Not Charged","auto","No","41087","92212","215106","4910","353315","0.25"
"2025-09-25T20:06:57.495Z","Errored, Not Charged","auto","No","19095","0","2150747","5699","2175541","0.60"
"2025-09-25T20:05:44.896Z","Errored, Not Charged","auto","No","6376","0","805413","2201","813990","0.22"
"2025-09-25T20:03:15.181Z","Errored, Not Charged","auto","No","70789","0","947087","3564","1021440","0.35"
"2025-09-25T20:03:01.349Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-09-25T19:58:22.807Z","Included","auto","No","1315","0","174512","394","176221","0.05"
"2025-09-25T19:57:48.614Z","Errored, Not Charged","auto","No","21396","0","93292","373","115061","0.05"
"2025-09-25T19:57:16.171Z","Errored, Not Charged","auto","No","28980","0","50736","370","80086","0.05"
"2025-09-25T19:55:36.111Z","Included","auto","No","48907","0","814592","4268","867767","0.29"
"2025-09-25T19:50:09.502Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-09-25T19:39:37.232Z","Included","auto","No","2950","0","516608","647","520205","0.14"
"2025-09-25T19:36:58.003Z","Errored, Not Charged","auto","No","2320","0","199168","954","202442","0.06"
"2025-09-25T19:36:15.654Z","Included","auto","No","1515","0","196608","578","198701","0.05"
"2025-09-25T19:35:51.129Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-09-25T19:31:12.202Z","Included","auto","No","102","0","98048","90","98240","0.03"
"2025-09-25T19:30:46.093Z","Errored, Not Charged","auto","No","70818","0","25600","897","97315","0.10"
"2025-09-25T19:23:26.130Z","Included","auto","No","125780","295441","936448","28064","1385733","0.93"
"2025-09-25T19:01:12.251Z","Included","auto","No","154392","0","1839104","4998","1998494","0.68"
"2025-09-25T18:58:09.157Z","Errored, Not Charged","auto","No","81000","0","824576","1811","907387","0.32"
"2025-09-25T18:55:02.061Z","Included","auto","No","10277","0","786176","2184","798637","0.22"
"2025-09-25T18:53:14.668Z","Errored, Not Charged","auto","No","7956","0","1385472","2849","1396277","0.37"
"2025-09-25T18:52:30.073Z","Included","auto","No","4615","0","705024","1414","711053","0.19"
"2025-09-25T18:42:45.430Z","Included","auto","No","4965","0","580352","1268","586585","0.16"
"2025-09-25T18:41:18.146Z","Errored, Not Charged","auto","No","2698","0","181248","4507","188453","0.08"
"2025-09-25T18:41:06.820Z","Errored, Not Charged","auto","No","21282","0","69120","67","90469","0.04"
"2025-09-25T18:35:15.424Z","Errored, Not Charged","auto","No","63949","0","2538752","9901","2612602","0.77"
"2025-09-25T18:34:37.627Z","Included","auto","No","22983","0","198656","426","222065","0.08"
"2025-09-25T18:34:09.234Z","Included","auto","No","73510","0","25600","459","99569","0.10"
"2025-09-25T18:30:57.211Z","Errored, Not Charged","auto","No","74236","0","23808","873","98917","0.10"
"2025-09-25T18:22:47.739Z","Errored, Not Charged","auto","No","80797","0","2809856","8764","2899417","0.86"
"2025-09-25T18:22:27.754Z","Errored, Not Charged","auto","No","1648","0","456192","354","458194","0.12"
"2025-09-25T18:21:50.577Z","Errored, Not Charged","auto","No","6997","0","781312","752","789061","0.21"
"2025-09-25T18:16:13.099Z","Errored, Not Charged","auto","No","226119","0","1588992","2607","1817718","0.70"
"2025-09-25T18:10:16.484Z","Included","auto","No","57416","0","2848256","13092","2918764","0.86"
"2025-09-25T18:10:09.526Z","Errored, Not Charged","auto","No","238","0","62720","137","63095","0.02"
"2025-09-25T18:07:46.876Z","Errored, Not Charged","auto","No","17158","0","1005568","4184","1026910","0.30"
"2025-09-25T18:06:22.736Z","Included","auto","No","63906","0","1291520","4522","1359948","0.43"
"2025-09-25T18:05:37.031Z","Included","auto","No","1796","657","192768","1617","196838","0.06"
"2025-09-25T18:05:32.137Z","Errored, Not Charged","auto","No","534","0","45824","57","46415","0.01"
"2025-09-25T18:04:56.025Z","Included","auto","No","39118","0","6912","93","46123","0.05"
"2025-09-25T16:31:56.021Z","Errored, Not Charged","auto","No","150403","134858","1331456","41597","1658314","0.94"
"2025-09-25T16:29:04.688Z","Included","auto","No","41878","0","1785088","5167","1832133","0.53"
"2025-09-25T16:26:43.262Z","Included","auto","No","2833","0","214272","943","218048","0.06"
"2025-09-25T16:23:58.254Z","Included","auto","No","14150","1102","1052672","4629","1072553","0.31"
"2025-09-25T16:19:59.633Z","Included","auto","No","2752","0","296704","866","300322","0.08"
"2025-09-25T16:19:00.505Z","Errored, Not Charged","auto","No","7081","670","611072","2583","621406","0.18"
"2025-09-25T16:18:09.165Z","Included","auto","No","891","0","210176","179","211246","0.05"
"2025-09-25T16:17:48.889Z","Errored, Not Charged","auto","No","472","0","104192","100","104764","0.03"
"2025-09-25T16:17:29.836Z","Included","auto","No","860","0","103168","99","104127","0.03"
"2025-09-25T16:15:55.508Z","Included","auto","No","10552","0","872448","1610","884610","0.24"
"2025-09-25T16:14:22.954Z","Included","auto","No","1497","0","50176","145","51818","0.02"
"2025-09-25T16:12:30.756Z","Errored, Not Charged","auto","No","26388","85605","23808","16239","152040","0.24"
"2025-09-25T15:46:25.299Z","Included","auto","No","4445","0","218624","340","223409","0.06"
"2025-09-25T15:45:40.735Z","Included","auto","No","46548","0","6912","165","53625","0.06"
"2025-09-25T15:45:32.171Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-09-25T09:46:57.886Z","Included","auto","No","10600","0","1167872","3470","1181942","0.33"
"2025-09-25T09:46:19.109Z","Errored, Not Charged","auto","No","29219","0","417280","1833","448332","0.15"
"2025-09-25T09:43:44.610Z","Included","auto","No","10020","0","1126144","1714","1137878","0.30"
"2025-09-25T09:43:24.021Z","Errored, Not Charged","auto","No","76001","0","88320","213","164534","0.12"
"2025-09-25T08:42:45.170Z","Included","auto","No","10918","0","915712","3834","930464","0.27"
"2025-09-25T08:42:06.011Z","Errored, Not Charged","auto","No","5258","0","492544","1161","498963","0.14"
"2025-09-25T08:40:54.416Z","Errored, Not Charged","auto","No","8646","0","582400","2222","593268","0.17"
"2025-09-25T08:40:27.369Z","Included","auto","No","2792","0","182784","529","186105","0.05"
"2025-09-25T08:40:07.946Z","Errored, Not Charged","auto","No","502","1110","59136","581","61329","0.02"
"2025-09-25T08:39:31.983Z","Included","auto","No","52554","0","64000","784","117338","0.09"
"2025-09-25T08:04:20.521Z","Included","auto","No","2124","0","223488","463","226075","0.06"
"2025-09-25T08:01:36.620Z","Errored, Not Charged","auto","No","29091","0","265984","1704","296779","0.11"
"2025-09-25T08:01:02.166Z","Included","auto","No","4332","0","114176","405","118913","0.04"
"2025-09-25T08:00:05.679Z","Included","auto","No","6567","0","227840","541","234948","0.07"
"2025-09-25T07:58:43.847Z","Errored, Not Charged","auto","No","3021","0","674304","1167","678492","0.18"
"2025-09-25T07:58:10.915Z","Included","auto","No","87895","0","245504","303","333702","0.17"
"2025-09-25T07:48:35.316Z","Included","auto","No","2006","0","50688","92","52786","0.02"
"2025-09-25T07:46:47.514Z","Errored, Not Charged","auto","No","21407","113660","29440","19230","183737","0.29"
"2025-09-25T07:46:08.108Z","Included","auto","No","77255","0","44800","364","122419","0.11"
"2025-09-25T07:40:14.571Z","Included","auto","No","62118","0","1806848","4234","1873200","0.55"
"2025-09-25T07:38:22.402Z","Errored, Not Charged","auto","No","33114","72468","258304","15828","379714","0.29"
"2025-09-25T07:37:32.472Z","Errored, Not Charged","auto","No","4803","0","446720","986","452509","0.12"
"2025-09-25T07:29:32.930Z","Included","auto","No","2626","0","150272","659","153557","0.04"
"2025-09-25T07:28:22.942Z","Included","auto","No","1575","0","181504","461","183540","0.05"
"2025-09-25T07:27:41.784Z","Included","auto","No","2879","0","205824","399","209102","0.06"
"2025-09-25T07:27:14.300Z","Included","auto","No","1638","0","198656","617","200911","0.06"
"2025-09-25T07:26:30.285Z","Errored, Not Charged","auto","No","8616","0","456960","1411","466987","0.13"
"2025-09-25T07:21:45.667Z","Included","auto","No","1683","0","438016","618","440317","0.12"
"2025-09-25T07:21:32.733Z","Included","auto","No","651","0","108544","190","109385","0.03"
"2025-09-25T07:21:07.925Z","Included","auto","No","656","0","108032","366","109054","0.03"
"2025-09-25T07:20:19.829Z","Included","auto","No","2201","0","105984","345","108530","0.03"
"2025-09-25T07:19:48.329Z","Errored, Not Charged","auto","No","916","0","105728","616","107260","0.03"
"2025-09-25T07:17:45.775Z","Errored, Not Charged","auto","No","83133","0","957440","2699","1043272","0.36"
"2025-09-25T07:16:13.057Z","Included","auto","No","21533","0","4346880","5360","4373773","1.15"
"2025-09-25T07:10:18.691Z","Included","auto","No","11809","0","1051648","7624","1071081","0.32"
"2025-09-25T07:01:35.678Z","Included","auto","No","5804","0","468480","1446","475730","0.13"
"2025-09-25T07:01:30.636Z","Errored, Not Charged","auto","No","16562","0","62720","151","79433","0.04"
"2025-09-25T07:00:37.843Z","Included","auto","No","4362","0","563712","840","568914","0.15"
"2025-09-25T06:59:32.383Z","Included","auto","No","11118","0","68352","326","79796","0.03"
"2025-09-25T06:52:27.766Z","Included","auto","No","28358","0","1986048","11574","2025980","0.60"
"2025-09-25T06:51:36.256Z","Included","auto","No","12320","0","97536","606","110462","0.04"
"2025-09-25T06:49:40.828Z","Errored, Not Charged","auto","No","46580","100522","537344","15300","699746","0.41"
"2025-09-25T06:47:37.737Z","Included","auto","No","3863","9044","959744","2306","974957","0.27"
"2025-09-25T06:45:49.786Z","Included","auto","No","1474","0","116992","1179","119645","0.04"
"2025-09-25T06:44:54.553Z","Included","auto","No","925","0","116224","1200","118349","0.04"
"2025-09-25T06:43:38.901Z","Included","auto","No","1051","0","115200","786","117037","0.03"
"2025-09-25T06:42:37.195Z","Included","auto","No","269","0","114944","882","116095","0.03"
"2025-09-25T06:41:08.085Z","Errored, Not Charged","auto","No","15065","0","517888","3849","536802","0.17"
"2025-09-25T06:38:37.282Z","Included","auto","No","1035","0","75776","533","77344","0.02"
"2025-09-25T06:38:29.243Z","Included","auto","No","90677","54079","412672","13503","570931","0.37"
"2025-09-25T06:37:37.692Z","Included","auto","No","3598","0","254208","901","258707","0.07"
"2025-09-25T06:36:57.295Z","Included","auto","No","4964","0","203264","676","208904","0.06"
"2025-09-25T06:36:54.516Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-09-25T06:36:39.765Z","Included","auto","No","3818","0","226304","478","230600","0.06"
"2025-09-25T06:36:22.785Z","Errored, Not Charged","auto","No","7288","0","139776","458","147522","0.05"
"2025-09-25T06:32:11.549Z","Included","auto","No","21837","0","3379200","7114","3408151","0.91"
"2025-09-25T06:31:35.545Z","Errored, Not Charged","auto","No","14945","0","517888","915","533748","0.15"
"2025-09-25T06:31:24.954Z","Included","auto","No","10982","0","1735168","4476","1750626","0.47"
"2025-09-25T06:30:26.322Z","Errored, Not Charged","auto","No","2494","0","454144","572","457210","0.12"
"2025-09-25T06:29:49.977Z","Errored, Not Charged","auto","No","6952","0","607488","1233","615673","0.17"
"2025-09-25T06:28:09.584Z","Included","auto","No","7357","0","641024","2826","651207","0.19"
"2025-09-25T06:25:33.261Z","Included","auto","No","55538","0","1199872","3561","1258971","0.39"
"2025-09-25T05:54:46.465Z","Included","auto","No","45548","86182","515840","16039","663609","0.39"
"2025-09-25T05:50:35.109Z","Included","auto","No","117998","0","2070016","3314","2191328","0.68"
"2025-09-25T05:49:05.815Z","Errored, Not Charged","auto","No","17263","0","946688","1536","965487","0.27"
"2025-09-25T05:43:42.367Z","Included","auto","No","54336","0","37632","81","92049","0.08"
"2025-09-25T05:39:40.854Z","Included","auto","No","50558","85063","1442048","31073","1608742","0.72"
"2025-09-25T05:36:44.293Z","Included","auto","No","8422","0","1032192","1928","1042542","0.28"
"2025-09-25T05:35:47.935Z","Included","auto","No","1845","0","333056","455","335356","0.09"
"2025-09-25T05:35:40.869Z","Errored, Not Charged","auto","No","702","0","109824","249","110775","0.03"
"2025-09-25T05:34:54.119Z","Errored, Not Charged","auto","No","1294","0","217856","972","220122","0.06"
"2025-09-25T05:34:08.765Z","Included","auto","No","4850","0","318208","362","323420","0.09"
"2025-09-25T05:32:57.238Z","Included","auto","No","417","0","104704","396","105517","0.03"
"2025-09-25T05:32:46.000Z","Errored, Not Charged","auto","No","595","0","209152","98","209845","0.05"
"2025-09-25T05:32:38.888Z","Errored, Not Charged","auto","No","1277","0","103424","37","104738","0.03"
"2025-09-25T05:32:25.929Z","Errored, Not Charged","auto","No","5215","0","201216","836","207267","0.06"
"2025-09-25T05:31:15.370Z","Included","auto","No","80324","0","1000704","2962","1083990","0.37"
"2025-09-25T05:22:55.202Z","Included","auto","No","35483","0","3634688","8041","3678212","1.00"
"2025-09-25T05:21:04.270Z","Errored, Not Charged","auto","No","19110","0","921600","4267","944977","0.28"
"2025-09-25T05:20:54.771Z","Errored, Not Charged","auto","No","7751","0","74496","135","82382","0.03"
"2025-09-25T05:20:05.523Z","Errored, Not Charged","auto","No","8313","104732","28672","9730","151447","0.21"
"2025-09-25T05:15:34.449Z","Included","auto","No","2584","0","1197056","919","1200559","0.31"
"2025-09-25T05:15:28.067Z","Errored, Not Charged","auto","No","7916","0","111360","76","119352","0.04"
"2025-09-25T05:07:15.244Z","Errored, Not Charged","auto","No","0","0","0","0","0","0.00"
